PLOT_ID,AGMR,ANMRc,DeadBioDmg,CVDBH,m.SDI,hillDivq0,FDq0,hillPDq0,hillDivq1,FDq1,hillPDq1,hillDivq2,FDq2,hillPDq2,PC1,PC2,MATave,CMIave,Age,Length,Census,Year,PS
4000045,0.0163526461881336,0.238075498346765,0,0.464523666943726,913.512002364891,5,64.1003774974881,520.669712,1.94938827148181,7.5393310669957,342.755080363246,1.73697353432871,5.44749050351977,336.024537892372,-0.704481564331583,-1.00854227256949,8.48628472222222,12.6890660492396,60.5333333333333,16,3,2011,500
4000060,0.0137566983270943,0.252322982203477,0,0.533622286031834,1209.08743714172,4,30.5763742721701,677.201404,1.74321251132209,9.09197527671904,343.446935907291,1.50069561898318,6.61734226495612,334.693631878196,-0.875318965173313,-1.40454427711799,8.31996527777778,13.937129203125,73.2,16,3,2011,400
4000061,0.00231046172136651,0.241347461364102,0,0.707829641223725,1474.29198993831,5,49.3532463482934,800.935641,2.30125263292691,16.6894672853541,441.847697199746,1.81559664332807,11.2772059622563,385.836928781036,-0.602646255358446,-0.933460314932418,8.30503472222222,13.928797635434,72.0769230769231,14,3,2012,500
4000065,0.0488533987567763,0.266369419593858,0,0.496621045432962,750.530635880429,4,29.9479056429563,678.930675,1.64157973656915,12.1672222750419,390.782322376723,1.32598021548728,9.11868454141313,355.275264576991,-1.19981363576438,-1.80371460860297,8.61059027777778,13.1273328727431,75,26,8,2006,410
4000315,0.0076772663612279,0.233906095948908,0,0.521700256634528,1176.30469534005,4,31.1745596518808,677.201404,1.89903371518097,6.02290879303767,346.652625165462,1.75559525385766,4.95557640836225,337.51402426939,-0.705465700932264,-0.996875553074637,8.53385416666667,13.218295021684,72.5,25,2,2006.5,400
4000375,0.00464516467165721,0.207915466645655,0,0.34672670898416,893.191542714636,3,15.1357220212884,476.154831,2.19791737570041,12.3744939719535,388.085123066213,1.7971438248836,11.1243365083321,361.891909269813,-0.824032960647861,-1.62275626913834,8.56857638888889,13.5198842873264,54.2222222222222,16,3,2011,500
4000376,0,0.147918265806266,0,0.386544564965717,1117.79290957052,5,58.5267374716532,522.398983,2.3071286564138,11.4233925498996,371.417864181341,1.99982739853696,8.13871795384292,350.405456397743,-0.689438806158659,-1.12817767685659,8.61336805555556,13.6193579560764,52,17,3,2010.5,400
4000377,0.363415056058014,2.35962951791727,0,0.494720645678995,1511.61360315263,3,15.1357220212884,476.154831,1.24624902899294,11.2368378903649,351.016843546175,1.10091911613411,9.72665132554638,337.004029191031,-0.0194024496868974,-1.7698896282893,8.72586805555556,13.443388559375,103.888888888889,16,3,2011,1000
4000379,0.886243438310919,1.86068033064889,9.09090909090909,0.352697708614173,1674.36126853267,3,15.1357220212884,476.154831,2.12151942155537,11.9265071868862,420.55312153635,1.87875250453944,10.1950833399398,394.350310690104,-0.0777743725326974,-1.18148057017407,8.7375,13.4780270006944,102.36,14,3,2012,1000
4000380,0.0101727746565805,0.200233434447891,0,0.320567377823523,582.052588713342,4,32.6017494837194,517.850409,1.9600600584549,10.3510302061519,360.811344122025,1.53679568377195,7.52363714221589,342.150613686804,-0.850678561984597,-1.43997734533596,8.56076388888889,13.3830231684028,52.1818181818182,14,3,2012,400
4000382,0.685041756379101,1.55594820859268,37.5,0.459705950451465,1502.23270888597,2,1.8925248729964,650.100056,1.99991136396676,1.8925248729964,650.071244854912,1.99982274233567,1.8925248729964,650.042438391247,0.278284409936251,0.146881056414022,8.49600694444444,13.0118429310764,132.52380952381,14,3,2012,1000
4000427,0.688408405461805,4.57045778384406,0.584795321637427,0.462020959179103,2567.94144908887,2,1.8925248729964,650.100056,1.92151761278112,1.8925248729964,624.589353836997,1.85358605949508,1.8925248729964,602.508200539287,0.601157180021931,-0.430078413566595,5.86579861111111,15.6284001828125,54.1764705882353,16,3,2011,400
4000428,0.740906699599198,3.8008101540682,0,0.439745539406672,2516.84775838715,2,1.8925248729964,650.100056,1.37937429800223,1.8925248729964,448.365654188107,1.21579161294984,1.8925248729964,395.193097831511,0.755674862848649,-0.706194731343033,5.71388888888889,15.5519834263889,58,16,3,2011,400
4000429,0.866805306801277,4.15364640909917,0.975609756097561,0.451530084760304,2840.84891454329,2,1.8925248729964,650.100056,1.73372396928245,1.8925248729964,563.547024759532,1.57250257346197,1.8925248729964,511.142005533885,0.654605712907736,-0.52558859609717,5.71545138888889,15.5600745808333,53.7692307692308,16,3,2011,400
4000430,0.573207154152866,3.55805102136731,9.47368421052632,0.46720103631637,2030.93203628937,2,1.8925248729964,650.100056,1.27914086404932,1.8925248729964,415.784773675176,1.14321232937105,1.8925248729964,371.601199672003,0.729153171020183,-0.658801632023196,5.66545138888889,15.5288347699653,51.125,16,3,2011,400
4000431,1.09060910766738,3.46053657652176,14,0.385945931758976,2531.79295530999,2,1.8925248729964,650.100056,1.89874329388798,1.8925248729964,617.1865608431,1.81472153396687,1.8925248729964,589.875285428134,0.547290141339269,-0.333820379544319,5.96857638888889,15.7191448550347,130.909090909091,16,3,2011,400
4000432,0.458203342307095,1.98057629674317,0,0.334812899856343,2275.33311329432,3,13.7577075185319,776.922814,1.15528975040729,7.74670579531138,344.953786565334,1.06591129335332,7.17159629200989,333.338695854507,0.0254976682661645,0.49043796357694,6.0265625,15.7549013076389,114.285714285714,18,3,2010,400
