AGMR,ANMR,ANMRc,DeadBioDmg,PS,Length,AGMRsd,ANMRcsd,loghillDivq0_sc,logFDq0s,loghillPDq0_sc,DeadBioDmg_sc,loghillDivq1_sc,logFDq1s,loghillPDq1_sc,logCVDBH_sc,loghillDivq2_sc,logFDq2s,loghillPDq2_sc,logm.SDIs,logPC1s,logPC2s,MATave_sc,CMIave_sc,logSA_sc
0.0163526461881336,0.0531776660889327,0.238075498346765,0,500,16,0.00558288553202426,0.142706946209684,0.755271469580225,0.673748891501417,-0.712528029283246,0,-0.0421795962957193,-0.883114464207155,-1.05979914739278,3.46895065749934,0.0254405769438372,-1.14995875524403,-0.895582736552495,-1.07902813310112,-0.178828851227306,-0.697715444409914,1.43462663551606,1.92768229371059,-0.797488407536165
0.0137566983270943,0.104404716397211,0.252322982203477,0,400,16,0.00469661430787202,0.151247156884374,0.205582304922897,0.0255282202506001,0.0772878812002962,0,-0.330217597850438,-0.662921144907043,-1.05189724516446,3.88812325233584,-0.372612761964849,-0.892490680569959,-0.912535300051952,-0.84813757980727,-0.260923470178704,-1.08166218856089,1.37213943575665,2.18362720607068,-0.423557929553228
0.00231046172136651,0.0564496291062699,0.241347461364102,0,500,14,0.000788804647768459,0.144668222584438,0.755271469580225,0.444797283758014,0.581526260696789,0,0.385391588592819,0.0512899410124088,-0.0646578238373775,4.86636216261754,0.14595979591777,-0.186957406932021,-0.305107372170892,0.00743164836991797,-0.130945921693087,-0.629235261829576,1.36652993765716,2.18191862076724,-0.453986807571431
0.0488533987567763,0.114753197142436,0.266369419593858,0,410,26,0.0166788255534652,0.159666856513385,0.205582304922897,0.00734126076492964,0.0849509816145348,0,-0.485001202196646,-0.320325183991868,-0.545926875982542,3.66606867054884,-0.709579481210139,-0.468141159093703,-0.657613681188189,-1.88618210704672,-0.423363909104851,-1.51409815989452,1.48132896853041,2.01755928702036,-0.375748883791081
0.0076772663612279,0.085987830142642,0.233906095948908,0,400,25,0.00262106198596153,0.140207727735505,0.205582304922897,0.0424948805952155,0.0772878812002962,0,-0.109612753707114,-1.14717319058874,-1.01549058301484,3.81716634154135,0.0544712275575417,-1.27521491060575,-0.876689677947604,-0.910571265412307,-0.179295361005677,-0.686990447634519,1.45249875736792,2.03621323026538,-0.442468570415519
0.00464516467165721,0.023017634387823,0.207915466645655,0,500,16,0.00158588538765573,0.124628454086216,-0.503090283469481,-0.590245064669106,-0.981074005179755,0,0.267009737627511,-0.300462521318334,-0.573067466530052,2.70654117664535,0.118149374968217,-0.205020692120429,-0.578789906580064,-1.13977706857451,-0.236040265874647,-1.31173398622229,1.46554410178534,2.09806125287808,-1.01417645210317
0,0,0.147918265806266,0,400,17,0,0.0886649997518794,0.755271469580225,0.594088532948106,-0.702564946089729,0,0.391962535775822,-0.394502364860448,-0.745084912176467,2.97146757230491,0.409068384279936,-0.618611361060298,-0.716571035960566,-1.02888079576701,-0.171707202480062,-0.8095390183245,1.4823725960838,2.11846068487084,-1.09653333322014
0.363415056058014,1.98983385340161,2.35962951791727,0,1000,16,0.124071947453884,1.41440645940699,-0.503090283469481,-0.590245064669106,-0.981074005179755,0,-1.19493355637548,-0.413864072544468,-0.96646412817952,3.6545161068592,-1.21595902516289,-0.38271833790053,-0.883149194024658,1.32481970187451,0.129410819240914,-1.475415353675,1.52463951199623,2.08237399192058,0.265505882325078
0.886243438310919,1.49088466613323,1.86068033064889,9.09090909090909,1000,14,0.302568502533117,1.11532690135367,-0.503090283469481,-0.590245064669106,-0.981074005179755,0.371531972221707,0.175852213573018,-0.343821826108037,-0.258218079166203,2.74676431492684,0.239048262751013,-0.320467287861412,-0.211879020580783,1.5542576962557,0.104353392561222,-0.860478670474052,1.52900970237606,2.0894774247879,0.236327804452139
0.0101727746565805,0.0523151686416257,0.200233434447891,0,400,14,0.00347304257655735,0.120023699026413,0.205582304922897,0.0816948193159332,-0.7288424296862,0,-0.0281121465875832,-0.510417050102446,-0.858618487767205,2.5281928536793,-0.307899807449041,-0.722614328112647,-0.818407174793369,-2.5108527745395,-0.248942414052408,-1.11805515971251,1.46260889929142,2.06999463863716,-1.08966406876872
0.685041756379101,1.18615254407702,1.55594820859268,37.5,1000,14,0.233877114842529,0.932664717077584,-1.50190819804068,-2.41097471960154,-0.0454348176562275,1.53256938541454,0.0237508714405196,-2.50843772740443,1.448404020236,3.43899150439382,0.409062045764044,-2.54919842385226,1.92309223338005,1.27540360866099,0.254025788860639,0.23650248451174,1.43827933195294,1.99387533889135,0.74460682369054
0.688408405461805,4.42253951803779,4.57045778384406,0.584795321637427,400,16,0.235026507805539,2.73961864048127,-1.50190819804068,-2.41097471960154,-0.0454348176562275,0.0238997175113379,-0.0792847938636854,-2.50843772740443,1.29170617443418,3.45339979550139,0.20233480720598,-2.54919842385226,1.59871724751116,0.862699932932779,0.383548486220417,-0.200392418339496,0.450094492333798,2.53046238129853,-1.01583774805602
0.740906699599198,3.65289188826193,3.8008101540682,0,400,16,0.252949721175635,2.27827732789119,-1.50190819804068,-2.41097471960154,-0.0454348176562275,0,-0.933420567057612,-2.50843772740443,-0.0072735068888918,3.31380432174105,-0.945763351542236,-2.54919842385226,-0.202759551664778,0.81473569492242,0.443600022846912,-0.429405412345288,0.393021110507611,2.51479131532339,-0.881624511074954
0.866805306801277,4.0057281432929,4.15364640909917,0.975609756097561,400,16,0.295932214930104,2.48977403720057,-1.50190819804068,-2.41097471960154,-0.0454348176562275,0.0398717238481832,-0.344281195406823,-2.50843772740443,0.888696545249485,3.38792256442285,-0.245370074770717,-2.54919842385226,0.896225085483652,1.09149859183854,0.404457644549841,-0.27800518282499,0.393608151006395,2.516450598196,-1.03068723199169
