PLOT_ID,AGMR,ANMR,loghillDivq0,logFDq0,loghillPDq0,logPC1,logPC2,DeadBioDmg,logm.SDI,logCVDBH,MATave,CMIave,logSA,y_m_x_m03
4000045,0.0163526461881336,0.0531776660889327,1.6094379124341,4.16045025310567,6.25511589062607,1.83983802084361,1.38415650940014,0,4.41281802139446,0.38153004758097,8.48628472222222,12.6890660492396,4.10319417749908,564_162
4000060,0.0137566983270943,0.104404716397211,1.38629436111989,3.42022762814023,6.5179687234996,1.81232667912813,1.2796707488919,0,4.5144733204137,0.427632444485022,8.31996527777778,13.937129203125,4.29319542096727,584.7_153
4000061,0.00231046172136651,0.0564496291062699,1.6094379124341,3.89900354584955,6.68578059552565,1.85588442746052,1.40279243760021,0,4.89115891660319,0.535223348719555,8.30503472222222,13.928797635434,4.27773392477689,584.4_153
4000065,0.0488533987567763,0.114753197142436,1.38629436111989,3.39945939366748,6.52051902367175,1.75789004880092,1.16198932034945,0,4.05744844301424,0.403209930728127,8.61059027777778,13.1273328727431,4.31748811353631,545.4_164.1
4000315,0.0076772663612279,0.085987830142642,1.38629436111989,3.43960236642643,6.5179687234996,1.83968168526291,1.38707516794223,0,4.48698534011952,0.419828299593801,8.53385416666667,13.218295021684,4.28358656186063,547.5_162.3
4000375,0.00464516467165721,0.023017634387823,1.09861228866811,2.71705764673974,6.16574307655099,1.82066547581577,1.21705991258098,0,4.38607179417749,0.297676988190355,8.56857638888889,13.5198842873264,3.99309082851693,568.2_158.7
4000376,0,0,1.6094379124341,4.0694837006194,6.25843163117625,1.84222460981577,1.35372528074354,0,4.43489663179663,0.32681472761681,8.61336805555556,13.6193579560764,3.95124371858143,567.6_158.7
4000377,0.363415056058014,1.98983385340161,1.09861228866811,2.71705764673974,6.16574307655099,1.94313452203742,1.17251630745902,0,5.47117171744287,0.401939330304722,8.72586805555556,13.443388559375,4.64332195195247,558.9_158.7
4000379,0.886243438310919,1.49088466613323,1.09861228866811,2.71705764673974,6.16574307655099,1.93473734038653,1.33986276367326,9.09090909090909,5.57218749133428,0.302100901176611,8.7375,13.4780270006944,4.62849601129159,558.6_158.7
4000380,0.0101727746565805,0.0523151686416257,1.38629436111989,3.48436595207751,6.24968641483857,1.81634174044899,1.26976690851337,0,3.78242167129651,0.278061475931591,8.56076388888889,13.3830231684028,3.9547341235212,567.9_159
4000382,0.685041756379101,1.18615254407702,0.693147180559945,0.637911849173826,6.47712628335101,1.9848951764611,1.63839091109993,37.5,5.44941505542131,0.37823501163541,8.49600694444444,13.0118429310764,4.88676232380247,568.5_159.6
