AGMRsd,ANMRcsd,logm.SDIs,logCVDBH_sc,DeadBioDmgsd,logm.SDIsd,logCVDBHsd,logFDq0s,loghillPDq0_sc,loghillDivq0_sc,logFDq1s,loghillPDq1_sc,loghillDivq1_sc,logFDq2s,loghillPDq2_sc,loghillDivq2_sc,logPC1s,logPC2s,MATave_sc,CMIave_sc,logSA_sc,y_m_x_m03,DeadBioDmg_sc
0.00558288553202426,0.142706946209684,-1.07902813310112,3.46895065749934,0,10.0228714525936,3.46895065749934,0.673748891501417,-0.712528029283246,0.755271469580225,-0.883114464207155,-1.05979914739278,-0.0421795962957193,-1.14995875524403,-0.895582736552495,0.0254405769438372,-0.178828851227306,-0.697715444409914,1.43462663551606,1.92768229371059,-0.797488407536165,564_162,0
0.00469661430787202,0.151247156884374,-0.84813757980727,3.88812325233584,0,10.2537620058874,3.88812325233584,0.0255282202506001,0.0772878812002962,0.205582304922897,-0.662921144907043,-1.05189724516446,-0.330217597850438,-0.892490680569959,-0.912535300051952,-0.372612761964849,-0.260923470178704,-1.08166218856089,1.37213943575665,2.18362720607068,-0.423557929553228,584.7_153,0
0.000788804647768459,0.144668222584438,0.00743164836991797,4.86636216261754,0,11.1093312340646,4.86636216261754,0.444797283758014,0.581526260696789,0.755271469580225,0.0512899410124088,-0.0646578238373775,0.385391588592819,-0.186957406932021,-0.305107372170892,0.14595979591777,-0.130945921693087,-0.629235261829576,1.36652993765716,2.18191862076724,-0.453986807571431,584.4_153,0
0.0166788255534652,0.159666856513385,-1.88618210704672,3.66606867054884,0,9.21571747864798,3.66606867054884,0.00734126076492964,0.0849509816145348,0.205582304922897,-0.320325183991868,-0.545926875982542,-0.485001202196646,-0.468141159093703,-0.657613681188189,-0.709579481210139,-0.423363909104851,-1.51409815989452,1.48132896853041,2.01755928702036,-0.375748883791081,545.4_164.1,0
0.00262106198596153,0.140207727735505,-0.910571265412307,3.81716634154135,0,10.1913283202824,3.81716634154135,0.0424948805952155,0.0772878812002962,0.205582304922897,-1.14717319058874,-1.01549058301484,-0.109612753707114,-1.27521491060575,-0.876689677947604,0.0544712275575417,-0.179295361005677,-0.686990447634519,1.45249875736792,2.03621323026538,-0.442468570415519,547.5_162.3,0
0.00158588538765573,0.124628454086216,-1.13977706857451,2.70654117664535,0,9.96212251712019,2.70654117664535,-0.590245064669106,-0.981074005179755,-0.503090283469481,-0.300462521318334,-0.573067466530052,0.267009737627511,-0.205020692120429,-0.578789906580064,0.118149374968217,-0.236040265874647,-1.31173398622229,1.46554410178534,2.09806125287808,-1.01417645210317,568.2_158.7,0
0,0.0886649997518794,-1.02888079576701,2.97146757230491,0,10.0730187899277,2.97146757230491,0.594088532948106,-0.702564946089729,0.755271469580225,-0.394502364860448,-0.745084912176467,0.391962535775822,-0.618611361060298,-0.716571035960566,0.409068384279936,-0.171707202480062,-0.8095390183245,1.4823725960838,2.11846068487084,-1.09653333322014,567.6_158.7,0
0.124071947453884,1.41440645940699,1.32481970187451,3.6545161068592,0,12.4267192875692,3.6545161068592,-0.590245064669106,-0.981074005179755,-0.503090283469481,-0.413864072544468,-0.96646412817952,-1.19493355637548,-0.38271833790053,-0.883149194024658,-1.21595902516289,0.129410819240914,-1.475415353675,1.52463951199623,2.08237399192058,0.265505882325078,558.9_158.7,0
0.302568502533117,1.11532690135367,1.5542576962557,2.74676431492684,0.371531972221707,12.6561572819504,2.74676431492684,-0.590245064669106,-0.981074005179755,-0.503090283469481,-0.343821826108037,-0.258218079166203,0.175852213573018,-0.320467287861412,-0.211879020580783,0.239048262751013,0.104353392561222,-0.860478670474052,1.52900970237606,2.0894774247879,0.236327804452139,558.6_158.7,0.371531972221707
0.00347304257655735,0.120023699026413,-2.5108527745395,2.5281928536793,0,8.59104681115521,2.5281928536793,0.0816948193159332,-0.7288424296862,0.205582304922897,-0.510417050102446,-0.858618487767205,-0.0281121465875832,-0.722614328112647,-0.818407174793369,-0.307899807449041,-0.248942414052408,-1.11805515971251,1.46260889929142,2.06999463863716,-1.08966406876872,567.9_159,0
